question_id,subject_id,outcome
RA_000,demo-model,1
RA_001,demo-model,1
RA_002,demo-model,0
RA_003,demo-model,1
RA_004,demo-model,
RA_005,demo-model,1
RA_006,demo-model,1
RA_007,demo-model,1
RA_008,demo-model,0
RA_009,demo-model,1
RA_010,demo-model,1
RA_011,demo-model,1
RA_012,demo-model,1
RA_013,demo-model,1
RA_014,demo-model,1
RA_015,demo-model,1
RA_016,demo-model,1
RA_017,demo-model,1
RA_018,demo-model,1
RA_019,demo-model,1
RA_020,demo-model,1
RA_021,demo-model,1
RA_022,demo-model,1
RA_023,demo-model,1
RA_024,demo-model,1
RA_025,demo-model,1
RA_026,demo-model,1
RA_027,demo-model,0
RA_028,demo-model,1
RA_029,demo-model,1
RA_030,demo-model,1
RA_031,demo-model,1
RA_032,demo-model,1
RA_033,demo-model,
RA_034,demo-model,0
RA_035,demo-model,1
RA_036,demo-model,1
RA_037,demo-model,1
RA_038,demo-model,1
RA_039,demo-model,1
RA_040,demo-model,1
RA_041,demo-model,1
RA_042,demo-model,1
RA_043,demo-model,1
RA_044,demo-model,0
RA_045,demo-model,1
RA_046,demo-model,1
RA_047,demo-model,1
RA_048,demo-model,1
RA_049,demo-model,0
RA_050,demo-model,1
RA_051,demo-model,0
RA_052,demo-model,1
RA_053,demo-model,1
RA_054,demo-model,1
RA_055,demo-model,1
RA_056,demo-model,1
RA_057,demo-model,1
RA_058,demo-model,1
RA_059,demo-model,1
RA_060,demo-model,1
RA_061,demo-model,0
RA_062,demo-model,1
RA_063,demo-model,1
RA_064,demo-model,1
RA_065,demo-model,1
RA_066,demo-model,1
RA_067,demo-model,1
RA_068,demo-model,1
RA_069,demo-model,1
RA_070,demo-model,1
RA_071,demo-model,1
RA_072,demo-model,1
RA_073,demo-model,1
RA_074,demo-model,0
RA_075,demo-model,1
RA_076,demo-model,1
RA_077,demo-model,1
RA_078,demo-model,1
RA_079,demo-model,1
RA_080,demo-model,1
RA_081,demo-model,1
RA_082,demo-model,0
RA_083,demo-model,0
RA_084,demo-model,1
RA_085,demo-model,1
RA_086,demo-model,0
RA_087,demo-model,1
RA_088,demo-model,1
RA_089,demo-model,1
RA_090,demo-model,
RA_091,demo-model,1
RA_092,demo-model,1
RA_093,demo-model,0
RA_094,demo-model,1
RA_095,demo-model,1
RA_096,demo-model,1
RA_097,demo-model,0
RA_098,demo-model,1
RA_099,demo-model,1
RA_100,demo-model,1
RA_101,demo-model,1
RA_102,demo-model,1
RA_103,demo-model,0
RA_104,demo-model,1
RA_105,demo-model,1
RA_106,demo-model,1
RA_107,demo-model,1
RA_108,demo-model,0
RA_109,demo-model,1
RA_110,demo-model,1
RA_111,demo-model,1
RA_112,demo-model,1
RA_113,demo-model,1
RA_114,demo-model,1
RA_115,demo-model,1
RA_116,demo-model,0
RA_117,demo-model,1
RA_118,demo-model,1
RA_119,demo-model,1
RA_000,demo-model_RA_-2,1
RA_001,demo-model_RA_-2,1
RA_002,demo-model_RA_-2,1
RA_003,demo-model_RA_-2,1
RA_004,demo-model_RA_-2,1
RA_005,demo-model_RA_-2,0
RA_006,demo-model_RA_-2,1
RA_007,demo-model_RA_-2,1
RA_008,demo-model_RA_-2,1
RA_009,demo-model_RA_-2,1
RA_010,demo-model_RA_-2,0
RA_011,demo-model_RA_-2,1
RA_012,demo-model_RA_-2,1
RA_013,demo-model_RA_-2,0
RA_014,demo-model_RA_-2,0
RA_015,demo-model_RA_-2,0
RA_016,demo-model_RA_-2,0
RA_017,demo-model_RA_-2,1
RA_018,demo-model_RA_-2,1
RA_019,demo-model_RA_-2,0
RA_020,demo-model_RA_-2,1
RA_021,demo-model_RA_-2,1
RA_022,demo-model_RA_-2,1
RA_023,demo-model_RA_-2,0
RA_024,demo-model_RA_-2,0
RA_025,demo-model_RA_-2,1
RA_026,demo-model_RA_-2,0
RA_027,demo-model_RA_-2,1
RA_028,demo-model_RA_-2,1
RA_029,demo-model_RA_-2,1
RA_030,demo-model_RA_-2,1
RA_031,demo-model_RA_-2,1
RA_032,demo-model_RA_-2,1
RA_033,demo-model_RA_-2,1
RA_034,demo-model_RA_-2,1
RA_035,demo-model_RA_-2,1
RA_036,demo-model_RA_-2,1
RA_037,demo-model_RA_-2,1
RA_038,demo-model_RA_-2,1
RA_039,demo-model_RA_-2,1
RA_040,demo-model_RA_-2,0
RA_041,demo-model_RA_-2,1
RA_042,demo-model_RA_-2,1
RA_043,demo-model_RA_-2,0
RA_044,demo-model_RA_-2,0
RA_045,demo-model_RA_-2,1
RA_046,demo-model_RA_-2,1
RA_047,demo-model_RA_-2,0
RA_048,demo-model_RA_-2,1
RA_049,demo-model_RA_-2,0
RA_050,demo-model_RA_-2,1
RA_051,demo-model_RA_-2,1
RA_052,demo-model_RA_-2,1
RA_053,demo-model_RA_-2,1
RA_054,demo-model_RA_-2,0
RA_055,demo-model_RA_-2,0
RA_056,demo-model_RA_-2,0
RA_057,demo-model_RA_-2,0
RA_058,demo-model_RA_-2,1
RA_059,demo-model_RA_-2,0
RA_060,demo-model_RA_-2,0
RA_061,demo-model_RA_-2,1
RA_062,demo-model_RA_-2,1
RA_063,demo-model_RA_-2,1
RA_064,demo-model_RA_-2,0
RA_065,demo-model_RA_-2,0
RA_066,demo-model_RA_-2,1
RA_067,demo-model_RA_-2,1
RA_068,demo-model_RA_-2,1
RA_069,demo-model_RA_-2,1
RA_070,demo-model_RA_-2,1
RA_071,demo-model_RA_-2,1
RA_072,demo-model_RA_-2,0
RA_073,demo-model_RA_-2,1
RA_074,demo-model_RA_-2,1
RA_075,demo-model_RA_-2,0
RA_076,demo-model_RA_-2,0
RA_077,demo-model_RA_-2,0
RA_078,demo-model_RA_-2,1
RA_079,demo-model_RA_-2,0
RA_080,demo-model_RA_-2,1
RA_081,demo-model_RA_-2,1
RA_082,demo-model_RA_-2,0
RA_083,demo-model_RA_-2,1
RA_084,demo-model_RA_-2,1
RA_085,demo-model_RA_-2,0
RA_086,demo-model_RA_-2,1
