question_id,demo-model_outcome,demo-model_RA_-2_outcome,demo-model_RA_0_outcome,demo-model_RA_+2_outcome
RA_000,1,1,1,0
RA_001,1,1,1,1
RA_002,0,1,1,0
RA_003,1,1,1,0
RA_004,,1,1,1
RA_005,1,0,1,1
RA_006,1,1,1,1
RA_007,1,1,1,1
RA_008,0,1,1,0
RA_009,1,1,1,1
RA_010,1,0,1,0
RA_011,1,1,1,1
RA_012,1,1,1,1
RA_013,1,0,1,1
RA_014,1,0,0,0
RA_015,1,0,1,1
RA_016,1,0,1,1
RA_017,1,1,1,0
RA_018,1,1,1,1
RA_019,1,0,0,1
RA_020,1,1,1,0
RA_021,1,1,1,1
RA_022,1,1,1,1
RA_023,1,0,1,1
RA_024,1,0,0,1
RA_025,1,1,1,1
RA_026,1,0,1,1
RA_027,0,1,0,0
RA_028,1,1,1,0
RA_029,1,1,1,1
RA_030,1,1,1,1
RA_031,1,1,1,1
RA_032,1,1,1,0
RA_033,,1,1,0
RA_034,0,1,0,0
RA_035,1,1,1,0
RA_036,1,1,1,1
RA_037,1,1,0,1
RA_038,1,1,1,0
RA_039,1,1,1,0
RA_040,1,0,1,1
RA_041,1,1,1,1
RA_042,1,1,1,0
RA_043,1,0,1,1
RA_044,0,0,1,1
RA_045,1,1,1,1
RA_046,1,1,1,1
RA_047,1,0,1,0
RA_048,1,1,1,0
RA_049,0,0,1,1
RA_050,1,1,1,1
RA_051,0,1,1,0
RA_052,1,1,0,0
RA_053,1,1,0,0
RA_054,1,0,1,1
RA_055,1,0,1,1
RA_056,1,0,1,1
RA_057,1,0,1,1
RA_058,1,1,1,0
RA_059,1,0,1,1
RA_060,1,0,1,1
RA_061,0,1,0,0
RA_062,1,1,1,1
RA_063,1,1,1,0
RA_064,1,0,1,0
RA_065,1,0,1,0
RA_066,1,1,1,1
RA_067,1,1,1,1
RA_068,1,1,1,1
RA_069,1,1,1,1
RA_070,1,1,1,1
RA_071,1,1,1,1
RA_072,1,0,1,1
RA_073,1,1,1,1
RA_074,0,1,1,0
RA_075,1,0,0,1
RA_076,1,0,1,1
RA_077,1,0,1,1
RA_078,1,1,1,1
RA_079,1,0,1,1
RA_080,1,1,1,0
RA_081,1,1,1,1
RA_082,0,0,1,1
RA_083,0,1,1,0
RA_084,1,1,1,0
RA_085,1,0,1,1
RA_086,0,1,1,0
RA_087,1,0,1,1
RA_088,1,1,1,1
RA_089,1,1,1,0
RA_090,,0,1,1
RA_091,1,1,1,1
RA_092,1,0,1,1
RA_093,0,1,1,0
RA_094,1,1,1,1
RA_095,1,1,1,1
RA_096,1,1,1,1
RA_097,0,0,0,1
RA_098,1,0,1,1
RA_099,1,1,1,1
RA_100,1,0,1,0
RA_101,1,0,1,0
RA_102,1,1,1,0
RA_103,0,1,1,1
RA_104,1,1,1,1
RA_105,1,1,1,1
RA_106,1,0,0,1
RA_107,1,0,1,1
RA_108,0,1,1,1
RA_109,1,0,1,1
RA_110,1,1,1,0
RA_111,1,1,1,1
RA_112,1,1,1,1
RA_113,1,1,1,1
RA_114,1,0,1,1
RA_115,1,1,1,1
RA_116,0,1,0,0
RA_117,1,1,1,1
RA_118,1,1,1,1
RA_119,1,1,1,1
